epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,10946.9,0.7237,0.56733,0.91557,0.69198,0.66587,0.69194,0.49228,1.03898,1.03105,1.11388,0.000526538,0.000526538,0.000526538
87,11072.3,0.73228,0.58113,0.91653,0.7268,0.6295,0.68043,0.49716,1.04149,1.04515,1.12688,0.000522039,0.000522039,0.000522039
88,11198.4,0.7332,0.57389,0.91682,0.72115,0.68111,0.71499,0.4943,1.04009,0.99178,1.12175,0.000517539,0.000517539,0.000517539
89,11325.3,0.73328,0.57804,0.91392,0.63612,0.64534,0.67341,0.48434,1.05869,1.02789,1.1174,0.00051304,0.00051304,0.00051304
90,11450.8,0.70876,0.56627,0.91189,0.71825,0.66624,0.68848,0.47322,1.03495,1.07824,1.12225,0.00050854,0.00050854,0.00050854
91,11577,0.72113,0.56726,0.90904,0.79395,0.59348,0.69146,0.48397,1.00207,1.03822,1.11059,0.00050404,0.00050404,0.00050404
92,11703.5,0.71308,0.55697,0.91391,0.74905,0.58946,0.66537,0.4603,1.03873,1.08077,1.1241,0.000499541,0.000499541,0.000499541
93,11830,0.73044,0.56631,0.91435,0.75086,0.63617,0.68302,0.46668,1.03515,1.06579,1.13457,0.000495041,0.000495041,0.000495041
94,11957.1,0.7161,0.56329,0.91457,0.83444,0.58635,0.67412,0.46743,1.05304,1.09904,1.13336,0.000490542,0.000490542,0.000490542
95,12082.9,0.7183,0.55629,0.91279,0.73374,0.66141,0.66928,0.47296,1.05202,1.04333,1.12805,0.000486042,0.000486042,0.000486042
96,12209.4,0.71815,0.56701,0.91545,0.78719,0.60184,0.68242,0.47386,1.045,1.10571,1.13783,0.000481543,0.000481543,0.000481543
97,12335,0.71552,0.55265,0.91333,0.78857,0.66188,0.70302,0.48305,1.03274,1.13726,1.12772,0.000477043,0.000477043,0.000477043
98,12460.4,0.71143,0.55456,0.90916,0.6833,0.64507,0.68257,0.48425,1.07914,1.12768,1.14677,0.000472544,0.000472544,0.000472544
99,12584.7,0.70409,0.54815,0.90923,0.80862,0.61747,0.68301,0.49209,1.04542,1.05952,1.13768,0.000468044,0.000468044,0.000468044
100,12709.5,0.70085,0.54077,0.91057,0.77108,0.58144,0.67952,0.47702,1.03951,1.04877,1.12161,0.000463545,0.000463545,0.000463545
101,12836.2,0.69763,0.54114,0.90963,0.71703,0.60449,0.65882,0.45804,1.05596,1.18142,1.13601,0.000459045,0.000459045,0.000459045
102,12961.6,0.7073,0.55244,0.90954,0.79662,0.61944,0.70818,0.50093,1.02614,1.03186,1.12284,0.000454545,0.000454545,0.000454545
103,13087.8,0.70659,0.53482,0.90386,0.73344,0.6087,0.67154,0.47384,1.04099,1.12098,1.13082,0.000450046,0.000450046,0.000450046
104,13213.9,0.70049,0.5457,0.90954,0.70328,0.65526,0.67294,0.46787,1.0799,1.09671,1.14305,0.000445546,0.000445546,0.000445546
105,13339.8,0.69661,0.53354,0.90433,0.69239,0.62601,0.6544,0.46525,1.04495,1.07043,1.12401,0.000441047,0.000441047,0.000441047
106,13466.2,0.70546,0.53512,0.90496,0.72092,0.58346,0.65728,0.47185,1.0129,1.10794,1.12084,0.000436547,0.000436547,0.000436547
107,13592.4,0.68287,0.53237,0.90466,0.71944,0.64397,0.68801,0.4955,1.01865,1.04006,1.12452,0.000432048,0.000432048,0.000432048
108,13718.6,0.7017,0.53523,0.90401,0.74831,0.65007,0.68807,0.49099,1.02361,1.02063,1.11447,0.000427548,0.000427548,0.000427548
109,13845.3,0.69154,0.53058,0.90277,0.74959,0.64348,0.69368,0.50202,1.01485,1.08588,1.11467,0.000423049,0.000423049,0.000423049
110,13969.4,0.68031,0.52026,0.89815,0.79953,0.58993,0.67064,0.48017,1.04572,1.12549,1.12593,0.000418549,0.000418549,0.000418549
111,14095.1,0.69514,0.52907,0.90121,0.70509,0.67226,0.69136,0.49384,1.0521,1.08877,1.13551,0.000414049,0.000414049,0.000414049
112,14221.8,0.6871,0.51962,0.89816,0.71944,0.63765,0.68583,0.4984,1.03618,1.0854,1.1302,0.00040955,0.00040955,0.00040955
113,14347.9,0.68291,0.51493,0.89697,0.76178,0.61517,0.68094,0.48468,1.0274,1.07292,1.1324,0.00040505,0.00040505,0.00040505
114,14474.1,0.6874,0.51756,0.90162,0.74182,0.65241,0.7097,0.50974,1.03643,1.0254,1.13276,0.000400551,0.000400551,0.000400551
115,14598.5,0.66772,0.50201,0.89729,0.82121,0.6248,0.70193,0.50432,1.03255,1.02679,1.12777,0.000396051,0.000396051,0.000396051
