epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,306.558,0.71162,1.17221,0.57194,0.906,0,0.77921,0.61804,0.6939,0.47484,0.76563,0.60118,0.66066,0.39638,1.05831,1.82348,1.05723,1.15158,0,0.000198071,0.000198071,0.000198071
81,310.413,0.72605,1.2048,0.59167,0.91226,0,0.70222,0.65316,0.6918,0.48164,0.73133,0.61388,0.66702,0.40671,1.04249,1.76469,1.05482,1.14471,0,0.000189072,0.000189072,0.000189072
82,314.123,0.73109,1.20773,0.58849,0.91734,0,0.72933,0.62078,0.69289,0.48542,0.73054,0.5925,0.66938,0.40791,1.02647,1.8081,1.03637,1.13113,0,0.000180073,0.000180073,0.000180073
83,317.935,0.72597,1.19764,0.58296,0.91098,0,0.72076,0.65138,0.68782,0.4796,0.73502,0.60286,0.65442,0.40044,1.02642,1.8482,1.03809,1.13619,0,0.000171074,0.000171074,0.000171074
84,321.845,0.70948,1.17219,0.56359,0.90574,0,0.70205,0.66117,0.68234,0.47412,0.69291,0.64328,0.65853,0.40182,1.04494,1.87129,1.06615,1.14063,0,0.000162075,0.000162075,0.000162075
85,325.634,0.71795,1.17636,0.57526,0.91059,0,0.76434,0.62831,0.68221,0.47596,0.76117,0.6194,0.65846,0.39974,1.05045,1.84752,1.06566,1.15287,0,0.000153076,0.000153076,0.000153076
86,329.219,0.69647,1.14806,0.5555,0.90349,0,0.76369,0.63031,0.678,0.47219,0.75284,0.61994,0.64685,0.39601,1.04951,1.86449,1.0511,1.15067,0,0.000144077,0.000144077,0.000144077
87,332.831,0.72812,1.20025,0.5733,0.90931,0,0.79754,0.61865,0.68632,0.47663,0.77966,0.60435,0.64572,0.40411,1.07513,1.84522,1.06404,1.16363,0,0.000135077,0.000135077,0.000135077
88,336.632,0.70495,1.14197,0.5643,0.90751,0,0.71233,0.65382,0.68364,0.47352,0.72349,0.60291,0.64646,0.39964,1.07695,1.83628,1.09872,1.16952,0,0.000126078,0.000126078,0.000126078
89,340.461,0.71569,1.16022,0.57824,0.90797,0,0.78758,0.62635,0.69241,0.47456,0.76719,0.60632,0.65493,0.39034,1.06109,1.81914,1.02531,1.16315,0,0.000117079,0.000117079,0.000117079
90,344.304,0.717,1.1997,0.56865,0.90662,0,0.75161,0.6447,0.69374,0.47992,0.75133,0.61992,0.66271,0.40045,1.0515,1.79686,1.02135,1.16407,0,0.00010808,0.00010808,0.00010808
91,352.202,0.67505,1.0735,0.54861,0.89642,0,0.73409,0.66873,0.69484,0.47281,0.72036,0.64295,0.65509,0.40437,1.08791,1.81191,1.09248,1.17368,0,9.9081e-05,9.9081e-05,9.9081e-05
92,355.896,0.6654,1.06544,0.53428,0.88877,0,0.76042,0.69195,0.69722,0.47686,0.74513,0.66174,0.67101,0.40317,1.05678,1.82647,1.02911,1.15373,0,9.00819e-05,9.00819e-05,9.00819e-05
93,359.404,0.65474,1.05223,0.52292,0.88857,0,0.7633,0.65039,0.69764,0.47997,0.74839,0.642,0.67601,0.40247,1.05744,1.83874,1.03159,1.15951,0,8.10828e-05,8.10828e-05,8.10828e-05
94,362.96,0.63874,1.00533,0.5084,0.88227,0,0.70009,0.67217,0.68857,0.48622,0.72673,0.61072,0.6524,0.40866,1.05162,1.84236,1.01222,1.15869,0,7.20837e-05,7.20837e-05,7.20837e-05
95,366.603,0.63037,0.99447,0.50606,0.8842,0,0.7169,0.67596,0.69065,0.4847,0.71463,0.65571,0.66878,0.40221,1.04696,1.86056,1.0386,1.15158,0,6.30846e-05,6.30846e-05,6.30846e-05
96,370.289,0.63284,1.01482,0.50033,0.87836,0,0.74249,0.66845,0.68769,0.47779,0.71985,0.65279,0.66856,0.39443,1.04582,1.88162,1.05545,1.1542,0,5.40855e-05,5.40855e-05,5.40855e-05
97,373.989,0.63738,1.02588,0.51064,0.88145,0,0.75616,0.63145,0.68548,0.47532,0.72697,0.62717,0.66492,0.39054,1.05325,1.85899,1.03817,1.15354,0,4.50864e-05,4.50864e-05,4.50864e-05
98,377.456,0.62779,0.99737,0.49767,0.87848,0,0.68934,0.67416,0.69197,0.47882,0.72347,0.62684,0.66805,0.40193,1.03778,1.84473,1.01636,1.13971,0,3.60873e-05,3.60873e-05,3.60873e-05
99,380.998,0.6229,1.00822,0.49911,0.87807,0,0.72941,0.65083,0.6946,0.48643,0.73239,0.6301,0.66473,0.40631,1.04538,1.83484,1.02111,1.14646,0,2.70882e-05,2.70882e-05,2.70882e-05
100,384.68,0.62737,1.01072,0.49877,0.87993,0,0.74067,0.64892,0.6925,0.48294,0.7318,0.63154,0.66581,0.40039,1.04265,1.83682,1.01781,1.14553,0,1.80891e-05,1.80891e-05,1.80891e-05
