epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,827.045,0.48975,0.7492,0.3373,0.86933,0,0.81288,0.62822,0.70537,0.5195,0.80901,0.6256,0.6943,0.43615,0.89852,1.80163,0.9001,1.16167,0,0.000171074,0.000171074,0.000171074
84,837.546,0.49548,0.76054,0.33567,0.86229,0,0.74086,0.67034,0.68721,0.50706,0.74548,0.66283,0.68475,0.43702,0.89386,1.74385,1.02601,1.14606,0,0.000162075,0.000162075,0.000162075
85,847.333,0.48874,0.74975,0.32953,0.86387,0,0.8355,0.63226,0.71335,0.52183,0.83904,0.63164,0.70693,0.44677,0.89474,1.71518,0.9266,1.15697,0,0.000153076,0.000153076,0.000153076
86,857.746,0.48246,0.72988,0.3247,0.86472,0,0.7834,0.66056,0.70365,0.52208,0.76466,0.66622,0.70092,0.43954,0.90293,1.80535,0.93799,1.17044,0,0.000144077,0.000144077,0.000144077
87,868.2,0.49049,0.75753,0.32857,0.86415,0,0.76283,0.65175,0.69822,0.51688,0.79652,0.62016,0.68517,0.4223,0.89925,1.91292,0.96939,1.15899,0,0.000135077,0.000135077,0.000135077
88,878.76,0.48731,0.74021,0.3286,0.86222,0,0.75629,0.64889,0.66844,0.49786,0.74141,0.63634,0.65235,0.40257,0.90148,1.92366,1.02144,1.15433,0,0.000126078,0.000126078,0.000126078
89,889.515,0.48978,0.73997,0.33113,0.86453,0,0.76249,0.62935,0.67054,0.49985,0.76047,0.62819,0.65885,0.41273,0.89592,1.92211,1.06427,1.15339,0,0.000117079,0.000117079,0.000117079
90,899.618,0.48973,0.74764,0.32807,0.86176,0,0.75783,0.64907,0.68087,0.50504,0.78235,0.62062,0.66632,0.41466,0.89175,1.85327,1.00755,1.15064,0,0.00010808,0.00010808,0.00010808
91,912.378,0.45749,0.67699,0.30744,0.84797,0,0.796,0.6086,0.67716,0.49559,0.79262,0.60739,0.67049,0.41258,0.8929,1.85584,0.99172,1.15612,0,9.9081e-05,9.9081e-05,9.9081e-05
92,923.538,0.43195,0.64891,0.29104,0.84426,0,0.70807,0.6615,0.69115,0.50669,0.7987,0.59614,0.67733,0.42137,0.89059,1.84949,0.96362,1.16848,0,9.00819e-05,9.00819e-05,9.00819e-05
93,932.992,0.42841,0.64305,0.28375,0.8372,0,0.75165,0.64888,0.68841,0.50629,0.74698,0.64641,0.67326,0.41905,0.89925,1.8402,1.00533,1.17612,0,8.10828e-05,8.10828e-05,8.10828e-05
94,942.283,0.43075,0.65155,0.28031,0.8371,0,0.75218,0.66704,0.68168,0.50693,0.74462,0.65828,0.67507,0.41444,0.90095,1.87341,0.98388,1.1796,0,7.20837e-05,7.20837e-05,7.20837e-05
95,951.655,0.41591,0.61797,0.27383,0.83508,0,0.75543,0.66213,0.68779,0.50998,0.74569,0.65603,0.67223,0.41709,0.89107,1.87986,1.002,1.16925,0,6.30846e-05,6.30846e-05,6.30846e-05
96,960.829,0.41299,0.61072,0.27523,0.83371,0,0.73696,0.6528,0.68485,0.50641,0.73663,0.64958,0.67869,0.41945,0.89482,1.91384,1.00861,1.1789,0,5.40855e-05,5.40855e-05,5.40855e-05
97,970.132,0.40459,0.60687,0.26578,0.83127,0,0.76303,0.62811,0.67694,0.50198,0.75939,0.62769,0.66792,0.41447,0.89815,1.92083,1.04227,1.17309,0,4.50864e-05,4.50864e-05,4.50864e-05
98,979.346,0.41393,0.61856,0.27153,0.83136,0,0.73414,0.65401,0.68157,0.5065,0.73192,0.65195,0.67147,0.41864,0.88293,1.89014,1.02378,1.16264,0,3.60873e-05,3.60873e-05,3.60873e-05
99,988.623,0.41621,0.62499,0.2742,0.83068,0,0.75725,0.66357,0.68892,0.51021,0.7552,0.66281,0.68391,0.41943,0.87939,1.89141,0.97412,1.16078,0,2.70882e-05,2.70882e-05,2.70882e-05
100,998.173,0.40223,0.61034,0.26432,0.82678,0,0.75936,0.66453,0.68703,0.51166,0.75111,0.65954,0.68046,0.42003,0.88741,1.89452,0.97459,1.17048,0,1.80891e-05,1.80891e-05,1.80891e-05
